DAY,WET BIOMASS(g),DRY BIOMASS(g),CARBON SOURCE
3,7.7,0.78,Shea butter kernel extract
5,6.68,1.02,Shea butter kernel extract
7,4.82,0.97,Shea butter kernel extract
9,10.69,1.52,Shea butter kernel extract
11,9,1.69,Shea butter kernel extract
13,10.64,2.63,Shea butter kernel extract
15,9.49,2.23,Shea butter kernel extract
3,22.83,2.31,Ipomoea Batatas Peel ectract
5,17.13,1.39,Ipomoea Batatas Peel ectract
7,28.87,1.83,Ipomoea Batatas Peel ectract
9,20.17,1.06,Ipomoea Batatas Peel ectract
11,17.83,1.07,Ipomoea Batatas Peel ectract
13,25.62,3.36,Ipomoea Batatas Peel ectract
15,25.68,2.17,Ipomoea Batatas Peel ectract
3,3.23,1.37,Palm Fruit empty fibre
5,5.5,0.51,Palm Fruit empty fibre
7,3.64,0.74,Palm Fruit empty fibre
9,6.47,1.77,Palm Fruit empty fibre
11,8.81,1.32,Palm Fruit empty fibre
13,8.62,1.35,Palm Fruit empty fibre
15,9.01,1.45,Palm Fruit empty fibre
3,8.89,1.25,Ipomoea batatas peel & Shea Butter  extract 
5,10.81,1.83,Ipomoea batatas peel & Shea Butter  extract 
7,13.47,2.22,Ipomoea batatas peel & Shea Butter  extract 
9,12.55,2.25,Ipomoea batatas peel & Shea Butter  extract 
11,11.71,2.2,Ipomoea batatas peel & Shea Butter  extract 
13,10.54,1.93,Ipomoea batatas peel & Shea Butter  extract 
15,9.23,1.7,Ipomoea batatas peel & Shea Butter  extract 
